word,sentiment,weight,freq_corpus
clean,positive,1.714,370
cleaner,positive,1.518,142
clear,positive,2.156,3199
cleared,positive,1.577,189
clearer,positive,1.553,168
clearly,positive,2.158,3225
clever,positive,1.67,298
client,positive,1.491,124
clients,positive,1.564,178
climate,negative,1.886,857
clinic,positive,2.189,3754
clinical,negative,2.002,1507
clinically,negative,1.757,457
clinics,positive,2.149,3097
clip,negative,1.531,151
clogging,negative,1.514,139
close,ambiguous,2.174,3484
closed,negative,2.034,1768
closely,positive,1.566,179
closer,positive,1.717,376
closest,positive,1.561,175
closing,negative,1.859,753
closure,negative,1.524,146
closures,negative,1.574,187
clot,negative,1.738,417
clots,negative,1.919,1005
clotting,negative,1.596,208
clown,negative,1.701,347
clowns,negative,1.645,264
club,positive,2.013,1590
clubs,positive,1.955,1202
clue,positive,1.783,518
clueless,negative,1.608,220
coach,positive,1.618,231
cobra,negative,1.535,154
cocktail,positive,1.635,251
code,negative,1.889,871
codes,negative,1.609,222
coerce,negative,1.588,200
coerced,negative,1.707,357
coercing,negative,1.491,124
coercion,negative,1.813,601
coffee,positive,1.751,444
cognitive,positive,1.419,87
cohort,positive,1.704,352
cohorts,positive,1.481,118
coincidence,negative,1.77,486
cold,negative,2.312,6842
colds,negative,1.748,436
collapse,negative,1.738,417
collapsed,negative,1.59,202
collapsing,negative,1.652,273
collateral,negative,1.523,145
colleague,positive,1.664,290
colleagues,positive,1.933,1077
collect,positive,1.645,264
collection,positive,1.643,261
collective,positive,1.536,155
college,positive,1.74,421
colour,positive,1.544,161
combat,negative,1.752,445
combination,positive,1.738,417
combined,positive,1.769,485
combo,positive,1.595,207
come,positive,2.364,8800
comedy,negative,1.568,181
comes,positive,2.126,2758
comfort,positive,1.559,173
comfortable,positive,1.663,289
coming,positive,2.244,4919
comirnaty,ambiguous,1.616,229
common,positive,2.129,2806
communication,ambiguous,1.593,205
communist,negative,1.571,184
communities,positive,1.779,508
community,positive,2.098,2416
comorbidities,negative,1.566,179
comparable,positive,1.644,263
compare,positive,1.889,869
compared,positive,2.057,1969
compares,positive,1.432,93
comparing,positive,1.783,519
comparison,positive,1.82,622
comparisons,positive,1.492,125
compassion,positive,1.544,161
compelling,positive,1.47,112
compensation,positive,1.584,196
complain,negative,1.708,360
complaining,negative,1.733,407
complaint,negative,1.559,173
complete,positive,2.025,1692
completed,positive,1.754,450
completely,positive,2.144,3011
complex,negative,1.717,376
compliance,positive,1.785,524
compliant,positive,1.534,153
complicated,negative,1.644,263
complications,negative,1.81,592
complied,positive,1.481,118
comply,positive,1.876,816
complying,positive,1.602,214
compromised,negative,1.745,430
compulsory,negative,1.886,858
concept,positive,1.697,341
concern,negative,1.92,1011
concerned,negative,1.957,1214
concerning,negative,1.682,316
concerns,negative,1.968,1277
conclude,positive,1.518,142
conclusion,positive,1.747,435
conclusions,positive,1.588,200
condition,ambiguous,1.895,897
conditions,ambiguous,2.005,1531
conducted,positive,1.434,94
confidence,positive,1.776,500
confident,positive,1.643,261
confirm,positive,1.843,695
confirmation,positive,1.708,359
confirmed,positive,1.976,1327
confirming,positive,1.559,173
confirms,positive,1.714,371
conflict,negative,1.567,180
confused,negative,1.864,771
confusing,negative,1.679,312
confusion,negative,1.641,259
congratulations,positive,1.66,284
connected,positive,1.578,190
connection,positive,1.602,214
conned,negative,1.51,136
conquer,positive,1.468,111
cons,negative,1.719,380
conscience,positive,1.537,156
conscious,positive,1.461,107
consensus,positive,1.568,181
consent,positive,1.875,814
consequence,negative,1.608,220
consequences,negative,1.93,1064
consequentialbr,negative,1.421,88
conservative,negative,1.719,379
conservatives,negative,1.9,918
consider,positive,2.008,1552
considerably,positive,1.464,109
consideration,positive,1.609,221
considered,positive,1.91,962
considering,positive,1.995,1462
considers,positive,1.625,240
consistent,positive,1.648,268
consistently,positive,1.632,248
conspiracies,negative,1.631,247
conspiracy,negative,2.155,3190
constant,ambiguous,1.867,783
constantly,ambiguous,1.861,759
consultant,negative,1.584,196
contact,ambiguous,2.079,2197
contacted,positive,1.541,159
contacts,negative,1.788,530
contagious,negative,1.817,611
contain,positive,1.717,376
contained,positive,1.474,114
contains,positive,1.585,197
contaminations,negative,1.503,132
contaminer,negative,1.423,89
content,positive,1.741,422
contents,positive,1.443,98
context,positive,1.829,648
continually,positive,1.502,131
continue,positive,2.126,2766
continued,positive,1.785,523
continues,positive,1.853,729
continuing,positive,1.738,416
continuous,positive,1.537,156
continuously,positive,1.511,137
contract,negative,1.878,826
contracted,negative,1.722,385
contracting,negative,1.81,592
contracts,negative,1.712,367
contrary,ambiguous,1.604,216
contrast,ambiguous,1.503,132
contribute,positive,1.543,160
contributed,positive,1.598,210
contributing,positive,1.536,155
contribution,positive,1.512,138
control,negative,2.175,3512
controlled,negative,1.748,437
controlling,negative,1.633,249
controls,negative,1.665,291
controversial,negative,1.514,139
convenient,positive,1.623,237
conversation,positive,1.797,554
conversations,positive,1.551,167
convince,positive,1.809,590
convinced,positive,1.949,1165
convincing,positive,1.571,184
cooking,positive,1.518,142
cool,positive,1.83,652
cope,positive,1.849,717
core,positive,1.603,215
corona,negative,1.935,1088
coronavirus,negative,2.227,4531
coronaviruses,negative,1.517,141
corporate,negative,1.607,219
corporations,negative,1.477,116
correct,positive,2.008,1557
correctly,positive,1.655,277
correlate,positive,1.344,60
correlation,positive,1.719,380
corrupt,negative,1.796,553
corruption,negative,1.775,498
cost,negative,2.006,1541
costing,negative,1.537,156
costs,negative,1.828,647
cough,negative,1.923,1025
coughing,negative,1.687,324
couldn't,negative,0.5,0
council,positive,1.769,485
councils,positive,1.481,118
count,positive,1.916,992
counted,positive,1.669,297
counter,negative,1.703,350
counting,negative,1.724,388
countless,negative,1.638,255
counts,positive,1.64,258
couple,positive,2.105,2498
courage,positive,1.641,259
course,positive,2.204,4050
courses,positive,1.569,182
court,positive,1.922,1023
cov,negative,1.802,569
covax,ambiguous,1.613,226
covaxin,positive,1.618,231
cover,positive,1.923,1027
coverage,positive,1.797,554
covered,positive,1.728,397
covering,positive,1.812,598
covers,positive,1.549,165
covid,negative,3.0,195614
Covid-19,negative,0.5,0
covidiot,negative,1.499,129
covidiots,negative,2.002,1509
covids,negative,1.511,137
crack,negative,1.703,351
crap,negative,1.958,1219
crash,negative,1.693,334
crazy,negative,1.947,1155
create,positive,1.979,1346
created,positive,2.032,1743
creates,positive,1.719,380
creating,positive,1.811,594
creation,positive,1.512,138
creative,positive,1.419,87
creator,positive,1.561,175
credibility,positive,1.626,241
credible,positive,1.56,174
credit,positive,1.921,1016
crew,positive,1.672,301
crime,negative,1.77,486
crimes,negative,1.638,255
criminal,negative,1.943,1131
criminals,negative,1.549,165
crisis,negative,1.996,1464
criteria,negative,1.629,244
critical,negative,1.901,923
criticise,negative,1.536,155
criticised,negative,1.654,276
criticism,negative,1.551,167
cronies,negative,1.503,132
cross,negative,1.904,934
crossed,negative,1.865,774
crossing,negative,1.567,180
crowd,negative,1.826,639
crowded,negative,1.664,290
crowds,negative,1.727,395
crucial,positive,1.66,284
cry,negative,1.77,486
crying,negative,1.817,612
crypto,negative,1.596,208
cult,negative,1.798,557
culture,positive,1.736,412
cunt,negative,1.626,241
cunts,negative,1.644,263
curbs,negative,1.686,323
cure,positive,1.936,1094
curfew,negative,2.011,1575
curfews,negative,1.577,189
curious,positive,1.722,385
curve,negative,1.725,390
customer,positive,1.606,218
customers,positive,1.779,509
cut,negative,1.952,1182
cute,positive,1.536,155
cuts,negative,1.675,306
cutting,negative,1.573,186
cycle,ambiguous,1.818,616
dad,positive,2.003,1515
dads,positive,1.539,157
daft,negative,1.649,270
damage,negative,2.063,2030
damaged,negative,1.737,414
damages,negative,1.515,140
damaging,negative,1.829,650
