word,sentiment,weight,freq_corpus
abbot,ambiguous,0.899,6
abeyance,ambiguous,0.5,0
abeyances,ambiguous,0.5,0
abovementioned,ambiguous,0.5,0
abrogate,ambiguous,0.642,1
abrogated,ambiguous,0.5,0
abrogates,ambiguous,0.5,0
abrogating,ambiguous,0.5,0
abrogation,ambiguous,0.5,0
abrogations,ambiguous,0.5,0
absence,ambiguous,1.668,295
absolution,ambiguous,0.784,3
absolve,ambiguous,1.056,14
absolved,ambiguous,1.056,14
absolves,ambiguous,0.642,1
absolving,ambiguous,0.5,0
accession,ambiguous,0.725,2
accessions,ambiguous,0.5,0
acquirees,ambiguous,0.5,0
acquirors,ambiguous,0.5,0
acquit,ambiguous,0.725,2
acquits,ambiguous,0.5,0
acquittals,ambiguous,0.5,0
acquittance,ambiguous,0.5,0
acquittances,ambiguous,0.5,0
acquitted,ambiguous,0.725,2
acquitting,ambiguous,0.5,0
actual,ambiguous,2.054,1945
actually,ambiguous,2.338,7783
addendums,ambiguous,0.5,0
address,ambiguous,1.842,693
addressing,ambiguous,1.503,132
adjourn,ambiguous,0.5,0
adjourned,ambiguous,0.868,5
adjourning,ambiguous,0.5,0
adjournment,ambiguous,0.5,0
adjournments,ambiguous,0.5,0
adjourns,ambiguous,0.5,0
adjudge,ambiguous,0.5,0
adjudged,ambiguous,0.5,0
adjudges,ambiguous,0.5,0
adjudging,ambiguous,0.5,0
adjudicate,ambiguous,0.642,1
adjudicated,ambiguous,0.784,3
adjudicates,ambiguous,0.5,0
adjudicating,ambiguous,0.5,0
adjudication,ambiguous,0.83,4
adjudications,ambiguous,0.5,0
adjudicative,ambiguous,0.5,0
adjudicator,ambiguous,0.5,0
adjudicators,ambiguous,0.5,0
adjudicatory,ambiguous,0.5,0
administrative,ambiguous,1.081,16
admissibility,ambiguous,0.5,0
admissible,ambiguous,0.5,0
admissibly,ambiguous,0.5,0
admissions,ambiguous,2.04,1821
admit,ambiguous,1.923,1028
admits,ambiguous,1.73,401
affectation,ambiguous,0.642,1
affidavit,ambiguous,0.642,1
affidavits,ambiguous,0.5,0
affirm,ambiguous,1.026,12
affirmance,ambiguous,0.5,0
affirmation,ambiguous,1.093,17
affirmatively,ambiguous,0.5,0
affreightment,ambiguous,0.5,0
aforedescribed,ambiguous,0.5,0
aforementioned,ambiguous,1.081,16
aforesaid,ambiguous,0.5,0
aforestated,ambiguous,0.5,0
agenda,ambiguous,1.975,1326
agent,ambiguous,1.511,137
airport,ambiguous,1.674,304
alarmist,ambiguous,1.246,37
alarmists,ambiguous,0.992,10
alertness,ambiguous,0.868,5
alerts,ambiguous,1.224,33
allegation,ambiguous,1.069,15
allegations,ambiguous,1.281,44
allege,ambiguous,1.026,12
almost,ambiguous,2.204,4050
always,ambiguous,2.285,6005
ambiguous,ambiguous,1.252,38
ambiguousness,ambiguous,0.5,0
amendable,ambiguous,0.5,0
amendatory,ambiguous,0.5,0
amended,ambiguous,1.272,42
amending,ambiguous,0.784,3
amendment,ambiguous,1.081,16
amendments,ambiguous,0.83,4
amends,ambiguous,0.83,4
amount,ambiguous,2.028,1714
amounts,ambiguous,1.602,214
anaconda,ambiguous,0.5,0
